,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,9,9,1.0
NYK,20,12,11,0.92
DET,20,11,10,0.91
ORL,20,11,9,0.82
SAS,20,10,8,0.8
PHO,17,9,7,0.78
HOU,20,9,7,0.78
LAL,20,8,6,0.75
MIA,20,11,8,0.73
BOS,20,10,7,0.7
MIN,20,10,7,0.7
TOR,20,12,8,0.67
GSW,20,7,4,0.57
CLE,20,14,8,0.57
DEN,20,9,5,0.56
ATL,20,8,4,0.5
MIL,20,11,5,0.45
CHI,20,9,4,0.44
MEM,20,9,4,0.44
PHI,20,12,5,0.42
IND,20,12,5,0.42
DAL,20,10,4,0.4
CHO,20,10,4,0.4
UTA,20,11,4,0.36
POR,20,7,2,0.29
NOP,20,13,3,0.23
SAC,20,9,2,0.22
WAS,20,10,2,0.2
BRK,20,11,2,0.18
LAC,20,8,1,0.12
