,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,18,8,8,1.0
NYK,16,9,8,0.89
DET,17,9,8,0.89
MIA,18,9,8,0.89
GSW,19,7,6,0.86
SAS,16,10,8,0.8
TOR,18,8,6,0.75
CHI,17,8,6,0.75
DEN,17,8,6,0.75
PHO,18,11,8,0.73
CLE,19,11,8,0.73
HOU,15,7,5,0.71
ORL,18,10,7,0.7
LAL,16,6,4,0.67
MIN,17,8,5,0.62
PHI,16,9,5,0.56
BOS,17,9,5,0.56
MIL,18,11,5,0.45
UTA,17,9,4,0.44
ATL,18,7,3,0.43
POR,18,7,3,0.43
MEM,18,10,4,0.4
CHO,17,8,3,0.38
SAC,18,8,3,0.38
LAC,17,8,3,0.38
DAL,19,13,4,0.31
IND,17,8,2,0.25
NOP,18,10,2,0.2
BRK,17,8,0,0.0
WAS,16,6,0,0.0
