,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
SAS,20,9,7,0.78
POR,20,12,9,0.75
ORL,20,10,7,0.7
DET,20,13,9,0.69
CLE,20,9,6,0.67
LAC,20,9,6,0.67
HOU,20,12,8,0.67
BOS,20,11,7,0.64
GSW,20,13,8,0.62
NYK,20,10,6,0.6
PHI,20,10,6,0.6
MIN,20,10,6,0.6
OKC,20,9,5,0.56
CHI,20,9,5,0.56
TOR,20,11,6,0.55
ATL,20,8,4,0.5
MIL,20,8,4,0.5
IND,20,10,5,0.5
CHO,20,8,4,0.5
LAL,20,8,4,0.5
BRK,20,9,4,0.44
NOP,20,7,3,0.43
WAS,20,12,5,0.42
DAL,20,12,5,0.42
DEN,20,10,4,0.4
MIA,20,10,4,0.4
MEM,20,11,4,0.36
SAC,20,12,4,0.33
UTA,20,8,2,0.25
