,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,8,7,0.88
PHO,20,7,6,0.86
LAC,20,11,9,0.82
GSW,20,14,11,0.79
DAL,20,9,7,0.78
DET,20,11,8,0.73
CHI,20,12,8,0.67
MIN,20,9,6,0.67
SAS,20,9,6,0.67
POR,20,14,9,0.64
OKC,20,11,7,0.64
DEN,20,8,5,0.62
BOS,20,8,5,0.62
CLE,20,10,6,0.6
TOR,20,9,5,0.56
MIA,20,9,5,0.56
ORL,20,9,5,0.56
LAL,20,10,5,0.5
NYK,20,10,5,0.5
PHI,20,10,5,0.5
BRK,20,11,5,0.45
SAC,20,14,6,0.43
MEM,20,12,5,0.42
WAS,20,10,4,0.4
NOP,20,11,4,0.36
UTA,20,9,3,0.33
IND,20,10,3,0.3
ATL,20,10,3,0.3
MIL,20,7,2,0.29
CHO,20,7,2,0.29
