date,home_team,away_team,home_win_rate,prob_iso,odds_1,stake_eur,won
2025-10-30,CHO,ORL,1.0,0.9,2.15,50.0,
2025-10-30,MIL,GSW,1.0,0.857,2.3,50.0,
2025-10-30,SAS,MIA,1.0,0.9,1.42,50.0,
2025-10-31,CHI,NYK,1.0,0.85,2.6,50.0,
2025-10-31,CLE,TOR,1.0,0.85,1.35,50.0,
2025-10-31,LAC,NOP,1.0,0.85,1.19,30.26,
2025-10-31,MEM,LAL,0.67,0.667,1.8,50.0,
2025-11-01,DET,DAL,0.67,0.826,1.33,50.0,
2025-11-02,PHO,SAS,0.67,0.462,2.9,53.9,
2025-11-04,CHI,PHI,1.0,0.5,1.87,18.42,
2025-11-05,NYK,MIN,1.0,0.842,1.65,118.16,
2025-11-06,PHO,LAC,0.75,0.818,1.74,124.96,
2025-11-07,MIL,CHI,0.75,0.8,1.57,128.66,
2025-11-07,SAS,HOU,1.0,0.615,2.45,128.66,
2025-11-08,PHI,TOR,0.67,0.667,1.52,18.19,
2025-11-09,MIL,HOU,0.8,0.789,2.45,159.53,
2025-11-10,CHI,SAS,1.0,0.438,2.5,143.58,
2025-11-11,PHI,BOS,0.6,0.722,2.02,129.22,
2025-11-12,NYK,ORL,1.0,0.933,1.57,142.4,
2025-11-12,SAS,GSW,1.0,1.0,1.62,142.4,
2025-11-13,PHO,IND,0.83,0.848,1.54,113.92,
2025-11-14,NYK,MIA,0.88,0.853,1.4,75.05,
2025-11-16,PHO,ATL,0.86,0.731,1.95,123.07,
2025-11-17,PHI,LAC,0.67,0.714,1.49,72.66,
2025-11-18,ORL,GSW,0.57,0.854,2.36,114.33,
2025-11-18,SAS,MEM,0.75,0.736,1.43,69.48,
2025-11-19,PHI,TOR,0.71,0.857,2.14,132.86,
2025-11-19,CLE,HOU,0.75,0.857,2.0,132.86,
2025-11-20,ORL,LAC,0.62,0.732,1.46,79.64,
2025-11-20,SAS,ATL,0.78,0.732,1.91,106.29,
2025-11-21,HOU,DEN,0.83,0.846,1.74,119.63,
2025-11-21,PHO,MIN,0.75,0.741,2.54,119.63,
2025-11-22,ORL,NYK,0.67,0.75,1.87,126.09,
2025-11-23,BOS,ORL,0.5,0.824,1.52,137.06,
2025-11-23,PHO,SAS,0.78,0.742,1.68,137.06,
2025-11-24,PHO,HOU,0.8,0.846,2.9,153.5,
2025-11-24,TOR,CLE,0.71,0.76,1.87,153.5,
2025-11-24,MIL,POR,0.5,0.76,1.77,153.5,
2025-11-25,LAL,LAC,0.67,0.75,1.39,74.19,
2025-11-26,BOS,DET,0.56,0.8,2.24,139.05,
2025-11-26,GSW,HOU,0.86,0.741,1.68,139.05,
2025-11-28,NYK,MIL,0.8,0.821,1.34,10.47,
2025-11-28,DET,ORL,0.8,0.7,1.62,142.39,
2025-11-29,PHO,DEN,0.7,0.853,2.36,114.62,
2025-11-30,MIN,SAS,0.67,0.647,1.6,24.1,
2025-12-01,LAL,PHO,0.8,0.763,1.51,59.25,
2025-12-02,TOR,POR,0.78,0.706,1.46,26.2,
2025-12-02,BOS,NYK,0.6,0.727,1.89,56.28,
2025-12-03,ATL,LAC,0.71,0.659,1.62,44.81,
2025-12-04,TOR,LAL,0.89,0.706,1.7,57.15,
2025-12-05,CLE,SAS,0.58,0.731,1.6,54.29,
2025-12-05,ORL,MIA,0.78,0.731,1.46,54.29,
2025-12-07,NYK,ORL,0.92,0.857,1.62,57.17,
2025-12-09,ORL,MIA,0.8,0.75,1.89,58.94,
2025-12-13,ORL,NYK,0.82,0.5,2.64,61.56,
2025-12-15,BOS,DET,0.7,0.673,1.82,58.49,
2025-12-18,DAL,DET,0.5,0.622,2.9,55.56,
2025-12-19,NYK,PHI,0.91,0.722,1.54,60.84,
2025-12-20,PHI,DAL,0.5,0.692,1.65,57.8,
2025-12-23,SAS,OKC,0.71,0.639,3.1,66.67,
2025-12-27,HOU,CLE,0.86,0.688,1.57,66.04,
2025-12-29,SAS,CLE,0.83,0.765,1.74,68.56,
2025-12-30,LAL,DET,0.6,0.66,2.24,65.13,
2025-12-30,MEM,PHI,0.57,0.691,1.95,65.13,
2025-12-31,SAS,NYK,0.67,0.647,1.82,58.62,
2026-01-03,LAC,BOS,0.56,0.683,1.85,61.02,
2026-01-03,MIA,MIN,0.6,0.6,2.24,61.02,
2026-01-03,NYK,PHI,0.82,0.683,1.65,61.02,
2026-01-05,DET,NYK,0.62,0.667,2.3,51.87,
2026-01-05,LAC,GSW,0.5,0.6,1.83,42.87,
2026-01-05,TOR,ATL,0.54,0.667,1.62,46.85,
2026-01-07,BOS,DEN,0.78,0.857,1.26,12.59,
2026-01-07,POR,HOU,0.5,0.654,3.15,58.47,
2026-01-08,MIN,CLE,0.73,0.704,1.8,64.13,
2026-01-08,CHO,IND,0.5,0.654,1.56,16.63,
2026-01-09,PHO,NYK,0.67,0.705,1.98,65.86,
