date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,win,pnl,stake
2025-12-20,DEN,HOU,0.57,0.6190476190476191,0.6190476190476191,1.91,18.23809523809524,0,-100.0,100.0
2025-12-23,POR,ORL,0.55,0.6190476190476191,0.6190476190476191,2.05,26.904761904761898,0,-100.0,100.0
2025-12-23,SAS,OKC,0.62,0.576271186440678,0.576271186440678,2.85,64.23728813559325,1,185.0,100.0
2025-12-28,LAC,DET,0.6,0.576271186440678,0.576271186440678,2.36,36.0,1,136.0,100.0
2025-12-29,SAS,CLE,0.62,0.8,0.8,1.74,39.2,0,-100.0,100.0
2025-12-30,MEM,PHI,0.5,0.8,0.8,1.95,56.00000000000001,0,-100.0,100.0
2025-12-31,SAS,NYK,0.62,0.8,0.8,1.77,41.600000000000016,1,77.0,100.0
2026-01-03,LAC,BOS,0.6,0.7037037037037037,0.7037037037037037,1.85,30.185185185185194,0,-100.0,100.0
2026-01-03,MIA,MIN,0.55,0.8,0.8,2.24,79.20000000000003,0,-100.0,100.0
2026-01-05,LAC,GSW,0.6,0.6721311475409836,0.6721311475409836,1.98,33.08196721311475,1,98.0,100.0
2026-01-05,DET,NYK,0.78,0.8,0.8,2.14,71.20000000000002,1,114.00000000000001,100.0
2026-01-05,TOR,ATL,0.5,0.6721311475409836,0.6721311475409836,1.7,14.262295081967203,1,70.0,100.0
2026-01-06,MEM,SAS,0.5,0.576271186440678,0.576271186440678,3.0,72.88135593220339,1,200.0,100.0
