,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
LAC,20,11,10,0.91
PHO,20,7,6,0.86
HOU,20,10,8,0.8
GSW,20,12,9,0.75
DET,20,10,7,0.7
CLE,20,10,7,0.7
POR,20,13,8,0.62
BOS,20,8,5,0.62
MIN,20,8,5,0.62
CHI,20,13,8,0.62
SAS,20,10,6,0.6
OKC,20,12,7,0.58
MIA,20,9,5,0.56
TOR,20,9,5,0.56
DEN,20,9,5,0.56
NYK,20,9,5,0.56
PHI,20,11,6,0.55
DAL,20,11,6,0.55
ORL,20,8,4,0.5
LAL,20,10,5,0.5
WAS,20,12,6,0.5
SAC,20,12,5,0.42
IND,20,10,4,0.4
BRK,20,10,4,0.4
CHO,20,8,3,0.38
MEM,20,11,4,0.36
ATL,20,10,3,0.3
UTA,20,10,3,0.3
NOP,20,9,2,0.22
MIL,20,6,1,0.17
