,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
NYK,20,12,11,0.92
OKC,20,10,9,0.9
DET,20,10,9,0.9
MIN,20,10,8,0.8
SAS,20,9,7,0.78
HOU,20,9,7,0.78
PHO,17,9,7,0.78
ORL,20,12,9,0.75
LAL,20,8,6,0.75
MIA,20,12,8,0.67
BOS,20,11,7,0.64
TOR,20,11,7,0.64
ATL,20,9,5,0.56
DEN,20,9,5,0.56
CLE,20,12,6,0.5
PHI,20,12,6,0.5
GSW,20,8,4,0.5
UTA,20,11,5,0.45
MIL,20,11,5,0.45
DAL,20,11,5,0.45
MEM,20,9,4,0.44
CHO,20,10,4,0.4
IND,20,11,4,0.36
CHI,20,9,3,0.33
POR,20,7,2,0.29
BRK,20,11,3,0.27
SAC,20,9,2,0.22
WAS,20,9,2,0.22
NOP,20,12,2,0.17
LAC,20,8,0,0.0
