,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,8,7,0.88
PHO,20,7,6,0.86
DET,20,11,9,0.82
LAC,20,10,8,0.8
GSW,20,14,11,0.79
MIN,20,9,7,0.78
DAL,20,9,7,0.78
OKC,20,11,8,0.73
SAS,20,10,7,0.7
POR,20,13,9,0.69
ORL,20,9,6,0.67
CHI,20,12,8,0.67
BOS,20,8,5,0.62
DEN,20,10,6,0.6
MIA,20,9,5,0.56
TOR,20,9,5,0.56
CLE,20,10,5,0.5
NYK,20,10,5,0.5
MEM,20,12,6,0.5
LAL,20,11,5,0.45
BRK,20,11,5,0.45
PHI,20,9,4,0.44
UTA,20,9,4,0.44
SAC,20,14,6,0.43
WAS,20,10,4,0.4
NOP,20,11,4,0.36
ATL,20,10,3,0.3
MIL,20,7,2,0.29
IND,20,11,3,0.27
CHO,20,8,2,0.25
