,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
LAC,20,11,10,0.91
PHO,20,7,6,0.86
HOU,20,11,9,0.82
CLE,20,10,7,0.7
DET,20,10,7,0.7
POR,20,12,8,0.67
GSW,20,12,8,0.67
BOS,20,9,6,0.67
CHI,20,13,8,0.62
MIN,20,8,5,0.62
NYK,20,10,6,0.6
OKC,20,12,7,0.58
SAS,20,9,5,0.56
ORL,20,9,5,0.56
DEN,20,9,5,0.56
TOR,20,9,5,0.56
PHI,20,11,6,0.55
DAL,20,11,6,0.55
MIA,20,10,5,0.5
WAS,20,12,6,0.5
LAL,20,10,5,0.5
IND,20,11,5,0.45
SAC,20,11,5,0.45
CHO,20,8,3,0.38
ATL,20,9,3,0.33
MEM,20,12,4,0.33
BRK,20,9,3,0.33
UTA,20,10,3,0.3
NOP,20,9,2,0.22
MIL,20,6,1,0.17
