n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
8,684.0,0.855,0.65,1.6,2.5,0.7
8,684.0,0.855,0.65,1.6,3.0,0.7
6,446.0,0.7433333333333333,0.65,1.6,2.1,0.7
13,954.0,0.7338461538461538,0.65,1.6,2.5,0.65
13,954.0,0.7338461538461538,0.65,1.6,3.0,0.65
5,344.0,0.688,0.65,1.6,2.0,0.7
15,943.0,0.6286666666666667,0.65,1.6,2.5,0.55
15,943.0,0.6286666666666667,0.65,1.6,3.0,0.55
14,854.0,0.61,0.65,1.6,2.5,0.6
14,854.0,0.61,0.65,1.6,3.0,0.6
11,660.0,0.6,0.65,1.6,2.1,0.55
10,571.0,0.571,0.65,1.6,2.1,0.6
10,571.0,0.571,0.65,1.6,2.1,0.65
10,558.0,0.558,0.65,1.6,2.0,0.55
9,469.0,0.5211111111111111,0.65,1.6,2.0,0.6
9,469.0,0.5211111111111111,0.65,1.6,2.0,0.65
12,578.0,0.4816666666666667,0.65,1.4,2.5,0.7
12,578.0,0.4816666666666667,0.65,1.4,3.0,0.7
28,1297.0,0.4632142857142857,0.5,1.6,3.0,0.65
26,1118.0,0.43,0.6,1.6,3.0,0.55
18,748.0,0.41555555555555557,0.65,1.4,2.5,0.65
18,748.0,0.41555555555555557,0.65,1.4,3.0,0.65
16,664.0,0.415,0.5,1.6,2.5,0.7
16,664.0,0.415,0.5,1.6,3.0,0.7
16,664.0,0.415,0.55,1.6,2.5,0.7
16,664.0,0.415,0.55,1.6,3.0,0.7
27,1107.0,0.41,0.5,1.6,2.5,0.65
20,803.0,0.4015,0.6,1.6,2.5,0.65
20,803.0,0.4015,0.6,1.6,3.0,0.65
26,1039.0,0.3996153846153846,0.55,1.6,2.5,0.65
26,1039.0,0.3996153846153846,0.55,1.6,3.0,0.65
25,989.0,0.3956,0.65,1.4,2.5,0.55
25,989.0,0.3956,0.65,1.4,3.0,0.55
25,933.0,0.3732,0.6,1.6,2.5,0.55
35,1259.0,0.3597142857142857,0.55,1.6,3.0,0.55
33,1174.0,0.3557575757575758,0.55,1.6,2.5,0.55
40,1419.0,0.35475,0.5,1.6,3.0,0.55
18,637.0000000000001,0.353888888888889,0.65,1.25,2.5,0.7
18,637.0000000000001,0.353888888888889,0.65,1.25,3.0,0.7
32,1102.0,0.344375,0.5,1.6,3.0,0.6
42,1441.0,0.3430952380952381,0.6,1.4,3.0,0.55
19,648.0000000000001,0.34105263157894744,0.65,1.4,2.5,0.6
19,648.0000000000001,0.34105263157894744,0.65,1.4,3.0,0.6
10,340.0,0.34,0.65,1.4,2.1,0.7
21,706.0,0.3361904761904762,0.65,1.4,2.1,0.55
20,658.0,0.329,0.5,1.6,2.1,0.65
29,944.0,0.3255172413793103,0.55,1.6,2.5,0.6
29,944.0,0.3255172413793103,0.55,1.6,3.0,0.6
16,520.0,0.325,0.6,1.6,2.1,0.65
12,390.0,0.325,0.5,1.6,2.1,0.7
12,390.0,0.325,0.55,1.6,2.1,0.7
41,1330.0,0.32439024390243903,0.5,1.4,3.0,0.65
19,614.0,0.3231578947368421,0.6,1.6,2.1,0.55
16,507.0,0.316875,0.6,1.6,2.0,0.55
14,435.0,0.3107142857142857,0.6,1.6,2.5,0.7
14,435.0,0.3107142857142857,0.6,1.6,3.0,0.7
19,590.0,0.3105263157894737,0.55,1.6,2.1,0.65
37,1144.0,0.3091891891891892,0.5,1.6,2.5,0.55
24,738.0,0.3075,0.5,1.4,2.5,0.7
24,738.0,0.3075,0.5,1.4,3.0,0.7
24,738.0,0.3075,0.55,1.4,2.5,0.7
24,738.0,0.3075,0.55,1.4,3.0,0.7
